16777216,16777471,au
16777472,16778239,cn
16778240,16779263,au
16779264,16781311,cn
16781312,16785407,jp
16785408,16793599,cn
16793600,16809983,jp
16809984,16842751,th
16842752,16843007,cn
16843008,16843263,au
16843264,16859135,cn
16859136,16875519,jp
16875520,16908287,th
16908288,16909055,cn
16909056,16909311,au
16909312,16941055,cn
16941056,16973823,th
16973824,17039359,cn
17039360,17039615,au
17039616,17072127,cn
17072128,17104895,th
17104896,17170431,jp
17170432,17301503,in
17301504,17367039,cn
17367040,17432575,my
17432576,17435135,cn
17435136,17435391,au
17435392,17465343,cn
17465344,17498111,th
17498112,17563647,kr
17563648,17825791,cn
17825792,18087935,kr
18087936,18153471,th
18153472,18219007,jp
18219008,18350079,in
18350080,18874367,cn
18874368,18939903,hk
18939904,19005439,jp
19005440,19136511,tw
19136512,19202047,hk
19202048,19267583,ph
19267584,19398655,in
19398656,19726335,au
19726336,19791871,cn
19791872,19922943,th
19922944,20185087,cn
20185088,20447231,vn
20447232,20971519,cn
20971520,21102591,hk
21102592,21233663,jp
21233664,21495807,cn
21495808,22020095,jp
22020096,23068671,cn
23068672,24117247,kr
24117248,24379391,jp
24379392,24641535,cn
24641536,27262975,au
27262976,28311551,tw
28311552,28442623,kr
28442624,28540927,au
28540928,28573695,th
28573696,28966911,cn
28966912,29097983,in
29097984,29884415,cn
29884416,29949951,tw
29949952,30015487,kr
30015488,30408703,cn
30408704,33488895,kr
33488896,33554431,au
33554432,34603007,fr
34603008,34911743,eu
34911744,34911999,at
34912000,35127295,eu
35127296,35651583,gb
35651584,36700159,it
36700160,36962303,ae
36962304,37224447,il
37224448,37486591,ua
37486592,37748735,ru
37748736,38273023,se
38273024,38797311,kz
38797312,39059455,pt
39059456,39321599,gr
39321600,39583743,sa
39583744,39845887,ru
39845888,40370175,gb
40370176,40894463,dk
40894464,41418751,it
41418752,41943039,gb
41943040,42205183,dk
42205184,42467327,kz
42467328,42991615,es
42991616,43253759,ir
43253760,43515903,no
43515904,43778047,es
43778048,44040191,it
44040192,45088767,de
45088768,46137343,ir
46137344,46661631,it
46661632,47710207,de
47710208,48234495,gb
48234496,49283071,it
49283072,49807359,de
49807360,50331647,se
50331648,57083940,us
57083941,57083941,be
57083942,68259583,us
68259584,68259599,ca
68259600,68296775,us
68296776,68296783,mx
68296784,68298887,us
68298888,68298895,ca
68298896,68305407,us
68305408,68305919,mx
68305920,68314143,us
68314144,68314151,ca
68314152,68395663,us
68395664,68395671,ca
68395672,68438287,us
68438288,68438303,ca
68438304,68649143,us
68649144,68649151,ca
68649152,69533951,us
69533952,69534207,ca
69534208,69915111,us
69915112,69915119,ca
69915120,69937263,us
